model,fold,mae_mpa,rmse_mpa,r2,fit_seconds,validation_rows,validation_recipes
ridge_baseline,1,6.3010960953635795,7.90141807194091,0.7211915530785593,0.007658832939341664,145,60
ridge_baseline,2,5.645549945527582,7.151595648273208,0.8294645048489371,0.006734416005201638,171,60
ridge_baseline,3,5.2617355927706,6.906139787979591,0.8159865745900508,0.008172000059857965,151,60
ridge_baseline,4,4.572492434904191,5.967554690044249,0.8574938012641989,0.007487665978260338,134,60
ridge_baseline,5,5.655139651715923,7.162065327695616,0.8028664310287671,0.007742209010757506,125,59
scaled_rbf_svr,1,4.1679038905364,5.792942752452685,0.850137035983428,0.03147341695148498,145,60
scaled_rbf_svr,2,4.351049506416752,6.27098766819565,0.8688764263171809,0.03157791600096971,171,60
scaled_rbf_svr,3,3.6969205836487844,5.093866134796667,0.8998908357593414,0.03179908404126763,151,60
scaled_rbf_svr,4,3.5986222403954757,5.291053723548318,0.8879723353890391,0.03783916705287993,134,60
scaled_rbf_svr,5,5.1479622535042875,6.965796201870836,0.8135228784450601,0.03552899998612702,125,59
extra_trees,1,3.9889523853548567,5.313389655564092,0.8739220390664436,0.2984980000182986,145,60
extra_trees,2,4.230626814318499,5.864505427205819,0.8853242290022846,0.2619347079889849,171,60
extra_trees,3,3.263111528743193,4.77745845343031,0.9119412293251881,0.2533537920098752,151,60
extra_trees,4,3.336965406632118,5.009016430958315,0.8995971934751895,0.2670065830461681,134,60
extra_trees,5,3.5128554274546024,5.016711657095581,0.9032786591430626,0.2570731659652665,125,59
age_monotonic_gradient_boosting,1,3.9855056674187743,5.280853247220683,0.8754613819937819,2.02770600002259,145,60
age_monotonic_gradient_boosting,2,4.016246341314135,5.474964343201178,0.9000526062556605,1.6933744170237333,171,60
age_monotonic_gradient_boosting,3,3.3740747595211324,4.879432375241216,0.908141915007729,1.6802440830506384,151,60
age_monotonic_gradient_boosting,4,3.5576845010681772,5.182304436238091,0.8925301149342124,1.7290568329626694,134,60
age_monotonic_gradient_boosting,5,3.7358545368214764,5.103451959155024,0.8999050676519302,1.67251316702459,125,59
regularized_neural_network,1,3.9114864745473277,5.129565107809658,0.8824948401622382,0.4126796249765903,145,60
regularized_neural_network,2,4.17304049689647,5.706464671525755,0.8914216720501642,0.5753445000154898,171,60
regularized_neural_network,3,3.82539023851753,5.3469799957054,0.8896948222005195,0.5234864170197397,151,60
regularized_neural_network,4,3.21002113382138,5.382879740703398,0.8840501223502913,0.4423041670816019,134,60
regularized_neural_network,5,5.3832339999348084,6.821540955621208,0.821166444815408,0.11916687502525747,125,59
